,bird,tiger,donkey,rabbit,deer,camel,goat,sheep,cat,kangaroo,rhinoceros,penguin,frog,lion,dog,squirrel,bear,turtle,elephant,ant,horse,alligator,raccoon,cow,leopard,monkey,giraffe,bee,fish,zebra
40546,-4.2852324e-05,0.028625043,0.012641999,0.011351466,0.023447871,0.010605485,0.019354967,0.02041327,0.021807916,0.044690933,0.03997132,0.0064319894,0.031813487,0.037718724,0.040927615,0.04713526,-0.019172175,0.035669487,0.0018575307,0.021847978,-0.0012190007,0.011180773,0.02138278,0.005503398,0.044185076,0.026263429,-0.010041156,0.0026843583,0.020371534,0.039322447
40547,0.047994908,0.0037241604,0.016154703,0.0128393695,-0.013947199,0.017604575,0.0010954352,0.020333746,-0.024478348,0.051985353,0.026957775,0.038804974,0.0067465175,0.04498768,0.033787657,0.010555808,0.0034863318,0.013384916,-0.004494581,0.030915888,0.01587748,0.019758098,-0.002066356,0.021340685,0.0065232594,0.013431626,0.023556538,0.024036584,0.038136043,0.050039846
40589,0.0006384882,0.0051893005,0.031439673,0.00076410454,0.016628144,-0.024269655,0.017034821,0.017548723,0.018475294,0.0034448123,0.0057182238,0.04527062,0.035717543,-0.008292579,0.035119165,0.010615964,-0.00096490514,0.00948108,0.018408913,0.013436441,0.006740574,0.00998228,0.010688213,-0.00418107,0.015697902,0.020397179,0.01343932,0.0103098415,0.043218315,0.019005092
40590,-0.023991078,-0.03354711,-0.027410818,-0.016896993,-0.006574681,0.0038399997,0.016004132,-0.006810404,0.051108316,-0.005676606,0.02246081,-0.020627262,-0.019077314,0.00027410034,-0.016085787,0.0041265655,-0.01010429,-0.013572997,-0.015514274,-0.04126443,-0.011095341,-0.02841276,-0.010163137,-0.013070956,-0.024013968,-0.026840769,0.004515099,-0.040499996,0.0023993573,-0.034986507
40634,0.016642889,0.016031582,0.011411478,0.008137475,0.015635103,0.020213924,0.007826236,0.01874057,0.023870504,0.0055310526,0.017481035,-0.00068583834,-0.0024886366,0.023714228,0.033961125,0.010777357,0.0059835427,0.0024715036,0.019548895,0.022114774,0.022127537,0.017243925,0.05112517,0.02137511,0.04939429,0.011492028,0.009142439,-0.014837231,0.011818339,0.023927787
40635,0.07308513,0.083661206,0.06937105,0.0782954,0.049908776,0.06105001,0.031124374,0.08958137,0.08047607,0.094083495,0.054678917,0.053628165,0.07249889,0.07941518,0.12191988,0.1076232,0.04283719,0.10073582,0.039224673,0.09245581,0.058047503,0.10017153,0.052492797,0.05448896,0.08653331,0.08006242,0.055181473,0.06298162,0.059343997,0.061142135
40681,0.09720591,0.14426155,0.084080845,0.08716919,0.084908284,0.06036147,0.07157496,0.101596564,0.073496275,0.11427552,0.068324275,0.042004198,0.115466565,0.1072939,0.120180406,0.1358626,0.057429522,0.114808686,0.083831914,0.115380086,0.072450295,0.12518647,0.07145525,0.06647109,0.15101978,0.0976311,0.07165859,0.04337761,0.089418866,0.12179131
40682,0.05523811,0.05318222,0.045045663,0.015489492,0.0110745905,0.06686792,0.033489514,0.075596064,-0.00236776,0.02783888,0.026803913,0.04717304,0.055815827,0.011365929,0.061047498,0.05951391,0.011384618,0.04894234,0.033693224,0.030182956,0.05070804,0.0705163,0.059884984,0.023944603,0.05506209,0.05165918,0.020827325,-0.008307933,0.052076485,0.0680168
40730,0.037289124,0.041335072,0.02176969,0.050536394,0.0013678152,0.01439803,0.07909758,0.028392151,0.03189604,0.047869723,0.005794218,0.040341493,0.081873395,0.057577576,0.06605328,0.044027716,-5.1091814e-05,0.07816588,0.056811333,0.017009873,0.031593297,0.052058075,0.070565626,0.04428047,0.022024231,0.05232629,0.056468,0.042515587,0.049971145,0.05676715
40731,0.056698423,0.09933105,0.08893075,0.040745024,0.06967407,0.062387425,0.06716376,0.060174465,0.07470288,0.1135783,0.059407327,0.07135315,0.05407074,0.09253026,0.072727926,0.08106196,0.07333417,0.08882693,0.04248029,0.09076788,0.05895024,0.067361906,0.05623624,0.06908759,0.1364467,0.104093365,0.06762763,0.06905789,0.077255316,0.063121684
